id,brand,name,protein,fat,carb,omega3,phosphorus,proteinSources,singleSource,grainFree,pulses,prescription,lifeStage,bodySize,reportsTotal,reportsPalatability,reportsLooseStool,unit,checkedAt,dealbreaker,discontinued,referenceOnly,awaitingLink,searchAs,twSource,knownIssues,m1Label,m1Unit,m1Amount,m1Note,m1Url,m1Dead,m2Label,m2Unit,m2Amount,m2Note,m2Url,m2Dead,m3Label,m3Unit,m3Amount,m3Note,m3Url,m3Dead,m4Label,m4Unit,m4Amount,m4Note,m4Url,m4Dead
df-01,ACANA 愛肯拿,單一蛋白低敏無穀 美膚羊肉+蘋果,31,17,25,1,1.1,lamb,Y,Y,high,N,all,small|medium|large,0,0,0,2kg,2026-09-08,你的狗曾對羊肉起疹 — 全配方只有羊，沒有第二種蛋白源可以退,N,,,,,換糧期比較容易軟便（纖維偏高），建議分 7–10 天慢慢換。也有飼主說狗不愛羊肉味,獅子王寵物（蝦皮優選）,2kg,1200,隔日到貨 · 正品保障 · 超商限兩包,https://s.shopee.tw/3qMvFBhWng,,獅子王寵物（蝦皮優選）,6kg,2640,超商限一包,https://s.shopee.tw/3qMvFBhWng,,獅子王寵物（蝦皮優選）,11.4kg,4380,限宅配 · 開封後要密封防潮,https://s.shopee.tw/3qMvFBhWng,,,,,,,
df-02,Natural Balance,低敏無穀馬鈴薯鴨肉 成犬,24,10,45,0,0.6,duck,Y,Y,unknown,N,adult,small|medium|large,0,0,0,4.5磅,2026-09-08,你的狗要控制體重 — 碳水約 45%，以馬鈴薯為主要碳水來源,N,,,,,顆粒比多數品牌大，小型犬可能不好咬 —— 我們列的是小顆粒版本,毛家人寵物用品,4.5磅,1050,小顆粒 · 2~3工作日出貨 · 蝦皮安心退,https://s.shopee.tw/40gLTGbv3Y?share_channel_code=6,,毛家人寵物用品,24磅,3450,原顆粒 · 開封後要密封防潮,https://s.shopee.tw/40gLTGbv3Y?share_channel_code=6,,,,,,,,,,,,,
df-03,FirstMate 第一饗宴,無穀低敏 野生海魚全犬,25,12,42,0,0.9,whitefish,Y,Y,none,N,all,small|medium|large,0,0,0,1.8kg,2026-09-08,你的狗對雞肉極度敏感 — 蛋白源是單一海魚，但油脂用的是雞脂肪,N,,,,,魚配方的顏色偏深、味道明顯，那是正常的 —— 有人拆封以為壞掉。但如果聞起來明顯發酸，那就不正常，別餵，直接找賣家換。,蝦皮直營（官方直營）,1.8kg,748,小顆粒 · 當日到 · 15天鑑賞 · 各規格是獨立商品，2.3kg 那個賣場另有羊肉配方,https://s.shopee.tw/80CUGQ3z8S?share_channel_code=6,,蝦皮直營（官方直營）,2.3kg,967,,https://s.shopee.tw/9AOReYUTFr?share_channel_code=6,,蝦皮直營（官方直營）,5.44kg,2051,,https://s.shopee.tw/9zxYe4srBV?share_channel_code=6,,蝦皮直營（官方直營）,6.6kg,2317,,https://s.shopee.tw/112jvWftHl?share_channel_code=6,
df-04,Go! Solutions,低致敏鮭魚無穀全犬,24,10,45,0.7,1,salmon,Y,Y,high,N,all,small|medium|large,0,0,0,6磅,2026-09-08,你的狗要控制體重 — 用木薯粉與豆類當碳水，碳水約 45%,N,,,,,這家把鮭魚和鹿肉放在同一個商品頁。點進去預設的規格不一定是鮭魚，結帳前自己確認一次。,毛家人寵物用品,6磅,1600,2~3工作日出貨 · 同賣場另有鹿肉與火雞口味,https://s.shopee.tw/4qFSVsX0T4?share_channel_code=6,,毛家人寵物用品,22磅,4190,大包裝專頁 · 同樣三種口味，選規格要看清,https://s.shopee.tw/3g3V7j61zs?share_channel_code=6,,,,,,,,,,,,,
df-05,Go! Solutions,低致敏鹿肉無穀全犬,24,10,45,0.7,1,venison,Y,Y,high,N,all,small|medium|large,0,0,0,3.5磅,2026-09-08,你只是想換換口味 — 每公斤 907 元是這裡最貴的一款，鹿肉留給雞羊魚都過敏、真的沒別的選擇的狗,N,,,,,跟鮭魚共用同一個商品頁，點進去要自己選成鹿肉。鹿肉是新蛋白，價格結構本來就跟雞羊魚不一樣 —— 它的定位是那三種都排除之後的最後選項。,毛家人寵物用品,3.5磅,1440,2~3工作日出貨 · 同賣場另有鮭魚與火雞口味,https://s.shopee.tw/4qFSVsX0T4?share_channel_code=6,,毛家人寵物用品,22磅,6430,大包裝專頁 · 同樣三種口味，選規格要看清,https://s.shopee.tw/3g3V7j61zs?share_channel_code=6,,,,,,,,,,,,,
df-06,Nutram 紐頓,T27 無穀全能 火雞+雞肉 小顆粒,30,17,40,0,1,chicken|turkey,N,Y,high,N,all,small,0,0,0,2kg,2026-09-08,你的狗對雞肉過敏 — 品名的「火雞」容易誤會，成分表第一項是去骨雞肉，還有雞肉粉,N,,,,,我們列的是小顆粒版本。同系列在台灣還有標「潔牙顆粒」的，不同賣場寫法不一致，下單前確認一下顆粒型式。,毛家人寵物用品,2kg,1399,小顆粒 · 2~3工作日出貨,https://s.shopee.tw/8fSB6QSYX5?share_channel_code=6,,毛家人寵物用品,5.4kg,2699,小顆粒 · 開封後要密封防潮,https://s.shopee.tw/8fSB6QSYX5?share_channel_code=6,,,,,,,,,,,,,
df-07,Pedigree 寶路,成犬 牛肉及蔬菜,18,9,48,0,1.2,poultry,0,0,none,0,adult,small|medium|large,0,0,0,10kg,2026-09-09,你正在排查過敏原 — 成分只寫「禽肉及其副產品」，沒有指明是哪一種鳥，你沒辦法從標示上排除雞肉,,1,,,,第一項是穀類（玉米、小麥），蛋白質來源包含大豆製品。粗蛋白 18% 是這裡最低的一款。,,,,,,,,,,,,,,,,,,,,,,,,
df-08,Taste of the Wild 海陸饗宴,濕地烤野禽 成犬,32,18,28,0.3,1.1,duck|chicken|turkey,0,1,high,0,adult,small|medium|large,0,0,0,12.7kg,2026-09-09,你的狗對雞肉過敏 — 台灣通路多半叫它「鴨肉」，但成分表第三項是雞肉粉，油脂也是雞脂肪,,1,,,,一次餵到鴨、雞、火雞、鵪鶉四種禽肉。想用它排查過敏原的話測不出東西。,,,,,,,,,,,,,,,,,,,,,,,,
df-09,ORIJEN 歐睿健（原渴望）,無穀幼犬 牧野鮮雞,38,20,16,0.8,1.2,chicken|turkey|whitefish,0,1,high,0,puppy,small|medium|large,0,0,0,6kg,2026-09-10,你的狗已經成年 — 這是幼犬配方，蛋白 38%、脂肪 20%，成犬長期吃容易過重,,,,歐睿健 Orijen 無穀幼犬 牧野鮮雞,,雞、火雞、比目魚、鯖魚、蛋都有，蛋白質來源很雜 —— 對排查過敏原的幼犬不適合。,H&R安室家（蝦皮商城）,6kg,3599,蝦皮商城 · 15 天鑑賞期 · 宅配滿 $490 免運,https://s.shopee.tw/5VVCT8YtWP,,H&R安室家（蝦皮商城）,11.4kg,6250,限宅配 · 開封後要密封防潮,https://s.shopee.tw/5VVCT8YtWP,,,,,,,,,,,,,
df-10,ORIJEN 歐睿健（原渴望）,大型幼犬,38,16,20,0.8,1.1,chicken|turkey|whitefish,0,1,unknown,0,puppy,large,0,0,0,11.4kg,2026-09-09,你的狗不是大型幼犬 — 這款把脂肪壓到 16% 是為了控制大型犬的生長速度，小型犬吃反而熱量不夠,,1,,,,大型幼犬長太快會傷關節，所以這類配方刻意降脂肪、控鈣磷。小型犬不需要這樣。,,,,,,,,,,,,,,,,,,,,,,,,
